Uniq,Season,WTeamID,NumWin,NumLost,Win,Avg.Score,FG,Avg.FGM,X3PT,Avg.FGM3,FT,Avg.FTM,Avg.Rebound_Off,Avg.Rebound_Def,Avg.Rebound_Total,Avg.Stl,Avg.Blk,Avg.PF,Avg.TO,Avg.Ast,Seed,TeamName,FirstD1Season,LastD1Season,ConfAbbrev,Description,Regular.Season.Champ,Conf..Tourney.Champ,March.Madness.Champ,NumChamp
2369,2010,1135,9,20,31.03,66.55,43.95,22.79,34,6.48,73.94,14.48,7.17,24.55,31.72,3.72,3.76,14.48,13.07,13,0,Brown,1985,2018,ivy,Ivy League,0,0,0,0
2370,2010,1136,1,29,3.33,51.87,37.33,18.77,28.55,5.3,66.75,9.03,8.13,21.73,29.87,5.93,3.67,20.17,16.27,10.9,0,Bryant,2009,2018,nec,Northeast Conference,0,0,0,0
2371,2010,1137,14,17,45.16,67,40.99,23.13,32.95,6.45,72.98,14.29,10.81,23,33.81,4.9,3.65,17.84,11.58,11.94,0,Bucknell,1985,2018,patriot,Patriot League,0,0,0,0
2372,2010,1138,17,12,58.62,71.62,43.37,24.93,34.32,6.79,71.97,14.97,12.34,22.86,35.21,7.41,3.21,18.83,14.03,14.83,0,Buffalo,1992,2018,mac,Mid-American Conference,0,0,0,0
2373,2010,1139,28,4,87.5,70.09,45.27,22.72,34.18,6.75,74.8,17.91,9.25,23.59,32.84,6.84,2.47,18.5,12.41,12.81,5,Butler,1985,2018,horizon,Horizon League,0,0,0,0
2374,2010,1140,28,5,84.85,82.61,48.2,28.39,41.55,8.12,78.6,17.7,10.18,26.79,36.97,8.55,3.48,17.36,11.3,15.79,7,BYU,1985,2018,mwc,Mountain West Conference,0,0,0,0
2375,2010,1141,14,15,48.28,63.97,40.73,21.45,37.42,7.69,66.55,13.38,12.28,21.1,33.38,7.97,2.86,21.76,14.21,10.62,0,C Michigan,1985,2018,mac,Mid-American Conference,0,0,0,0
2376,2010,1142,12,19,38.71,70.19,41.69,23.81,33.44,6.65,72.86,15.94,12.39,23.1,35.48,5.52,2.35,22.03,13.45,11.74,0,Cal Poly SLO,1995,2018,big_west,Big West Conference,0,0,0,0
2377,2010,1143,23,10,69.7,77.97,47.74,27.91,37.29,6.58,75.7,15.58,11.48,24.27,35.76,5.67,2.48,17,12,14.45,8,California,1985,2018,pac_ten,Pacific-10 Conference,1,0,0,1
2378,2010,1144,17,11,60.71,67.68,44.64,23.04,35.12,4.68,71.39,16.93,11,20.43,31.43,10.21,2.07,18.96,14.21,14.11,0,Campbell,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
2379,2010,1145,15,17,46.88,66.41,41.2,23.25,31.48,6.56,70.11,13.34,12.62,24.84,37.47,6.03,3.5,18.28,14.72,12.59,0,Canisius,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
2380,2010,1146,6,20,23.08,61.81,40.77,20.73,30.89,5.35,63.41,15,10.92,21.96,32.88,5.81,3.04,17.46,14.38,9.38,0,Cent Arkansas,2007,2018,southland,Southland Conference,0,0,0,0
2381,2010,1147,6,21,22.22,68.63,40.88,22.81,35.42,7.74,72.41,15.26,8.93,20.15,29.07,7.3,2.26,21.52,15.07,12.7,0,Centenary,1985,2011,summit,Summit League,0,0,0,0
2382,2010,1148,12,18,40,61.13,40.34,21.5,31.21,5.07,71.66,13.07,11,21.47,32.47,6.67,3,15.13,13.4,10.97,0,Central Conn,1987,2018,nec,Northeast Conference,0,0,0,0
2383,2010,1149,9,17,34.62,64.31,41.54,23.69,34.5,6.08,66.2,10.85,12.35,22.81,35.15,7.69,4.04,18.35,14.69,10.08,0,Charleston So,1985,2018,big_south,Big South Conference,0,0,0,0
2384,2010,1150,19,12,61.29,73.42,41.84,24.39,31.11,6.48,73.31,18.16,13.32,26.26,39.58,5.9,4.06,18.19,13.35,13.19,0,Charlotte,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
2385,2010,1151,13,18,41.94,68.19,42.95,24.26,33.29,8.13,61.62,11.55,11.13,25.39,36.52,5.77,2.48,18.9,16.26,14.32,0,Chattanooga,1985,2018,southern,Southern Conference,0,0,0,0
2386,2010,1152,6,22,21.43,59.89,36.85,20.82,27.49,4.54,65.75,13.71,13.5,21.79,35.29,6.96,1.93,19.86,15.96,9.71,0,Chicago St,1985,2018,gwc,Great West Conference,0,0,0,0
2387,2010,1153,18,15,54.55,68.67,43.18,25.61,29.14,5.55,62.18,11.91,14.09,25.48,39.58,5.52,3.03,18.18,13.09,13.61,0,Cincinnati,1985,2018,big_east,Big East Conference,0,0,0,0
2388,2010,1154,14,16,46.67,60.57,41.24,21.33,36.29,7.37,71.49,10.53,9.8,21.6,31.4,4.93,1.47,15.57,10.77,11.23,0,Citadel,1985,2018,southern,Southern Conference,0,0,0,0
2389,2010,1155,21,10,67.74,73.29,45.34,26.55,33.61,6.58,65.94,13.61,12.97,23.71,36.68,9.65,4.84,17.48,14.84,14.16,7,Clemson,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
2390,2010,1156,14,17,45.16,66.81,43.04,23.23,34.08,6.39,75.04,13.97,9.48,19.87,29.35,8.32,1.84,21.58,12,12.42,0,Cleveland St,1985,2018,horizon,Horizon League,0,0,0,0
2391,2010,1157,24,6,80,72.3,47.2,26.97,34.79,5.03,64.1,13.33,12.73,25.67,38.4,6.8,4.17,16.4,12.57,14.73,0,Coastal Car,1987,2018,big_south,Big South Conference,0,0,0,0
2392,2010,1158,21,11,65.62,74.41,45.63,27.75,36.63,9.38,73.32,9.53,8.78,23.09,31.88,5.75,4.94,16.94,11.22,12.59,0,Col Charleston,1992,2018,southern,Southern Conference,0,0,0,0
2393,2010,1159,10,19,34.48,67.41,43.42,23.9,36.99,6.62,68.55,13,11.03,23.31,34.34,6.24,2.03,18.62,14.97,13.24,0,Colgate,1985,2018,patriot,Patriot League,0,0,0,0
2394,2010,1160,13,16,44.83,74.34,47.12,24.86,38.25,6.62,76.65,18,7.34,20.72,28.07,8.07,2.31,21.48,13.38,14.14,0,Colorado,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
2395,2010,1161,15,15,50,66.03,42.28,21.63,34.61,5.43,68.78,17.33,11.23,23.43,34.67,6.83,2.43,20.9,14.97,10.47,0,Colorado St,1985,2018,mwc,Mountain West Conference,0,0,0,0
2396,2010,1162,11,17,39.29,60.21,40.63,21.07,37.6,4.82,67.09,13.25,10.79,22.25,33.04,7.43,1.86,19.71,14.32,9.96,0,Columbia,1985,2018,ivy,Ivy League,0,0,0,0
2397,2010,1163,17,15,53.12,70.56,44.99,24.84,31.48,3.72,69.06,17.16,13.44,26,39.44,6.69,7.75,15.81,15.03,13.84,0,Connecticut,1985,2018,big_east,Big East Conference,0,0,0,0
2398,2010,1164,5,22,18.52,60.07,38.82,21.48,32.32,5.11,74.31,12,10.78,21.11,31.89,6.04,2.19,18.52,13.96,10.04,0,Coppin St,1986,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
2399,2010,1165,25,4,86.21,75.17,47.7,26.76,43.76,9.79,73.19,11.86,10.28,23.17,33.45,7.14,3.62,18.24,12.24,16.24,12,Cornell,1985,2018,ivy,Ivy League,0,0,0,0
2400,2010,1166,16,15,51.61,69.39,43.5,23.74,32.56,7.26,70.94,14.65,10.45,24.35,34.81,5.13,3.1,18.65,12.39,13.61,0,Creighton,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
2401,2010,1167,7,22,24.14,65.76,38.83,21.93,31.06,5.03,68.68,16.86,14.07,22.07,36.14,6.24,2.86,18.72,15.1,9.07,0,CS Bakersfield,2008,2018,ind,Independent,0,0,0,0
2402,2010,1168,14,15,48.28,72.86,44.01,24.59,34.29,6.62,71.12,17.07,10.55,26.28,36.83,5.38,3.03,20.03,14.97,13,0,CS Fullerton,1985,2018,big_west,Big West Conference,0,0,0,0
2403,2010,1169,11,21,34.38,71.31,41.98,23.47,31.2,4.88,66.88,19.5,13.47,24.47,37.94,7.47,3.09,23.12,17.44,11.19,0,CS Northridge,1991,2018,big_west,Big West Conference,0,0,0,0
2404,2010,1170,7,21,25,63.25,40.07,21.68,34.04,5.75,71.48,14.14,9.29,22.29,31.57,7,2.86,18.82,14.14,12.21,0,CS Sacramento,1992,2018,big_sky,Big Sky Conference,0,0,0,0
2405,2010,1171,4,23,14.81,52.96,37.37,20,29.13,3.59,65.89,9.37,10.19,20.33,30.52,6.19,2.26,18.37,13.37,9.93,0,Dartmouth,1985,2018,ivy,Ivy League,0,0,0,0
2406,2010,1172,14,15,48.28,70.14,42.37,24.03,35.69,8.69,67.71,13.38,11.83,24.52,36.34,4.14,3.38,19.93,13.59,14.52,0,Davidson,1985,2018,southern,Southern Conference,0,0,0,0
2407,2010,1173,20,12,62.5,69.72,44.24,24.47,34.02,6.69,66.81,14.09,12.06,26.19,38.25,6.22,3.5,20,14.59,14.66,0,Dayton,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
2408,2010,1174,7,24,22.58,63.39,39.12,22.1,29.29,5.61,69.93,13.58,12.9,21.87,34.77,5.03,2.35,20.94,13.26,11.65,0,Delaware,1985,2018,caa,Colonial Athletic Association,0,0,0,0
2409,2010,1175,14,12,53.85,58.12,41.08,20.81,32.42,5,66.74,11.5,11.15,16.35,27.5,7.62,2.42,14.92,11.38,10.5,0,Delaware St,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
2410,2010,1176,19,13,59.38,64.97,49,21.53,39.53,7.84,71.43,14.06,4.88,19.12,24,5.66,3.03,21.78,11.81,14.53,0,Denver,1999,2018,sun_belt,Sun Belt Conference,0,0,0,0
2411,2010,1177,8,23,25.81,61,39.75,22.71,31.36,5.65,58.22,9.94,12,21.42,33.42,7.61,3.13,18.39,10.9,11.81,0,DePaul,1985,2018,big_east,Big East Conference,0,0,0,0
2412,2010,1178,19,14,57.58,69.03,45.87,24.21,33.18,4.24,65.85,16.36,11.52,24,35.52,7.24,3.52,18.55,15.27,13.64,0,Detroit,1985,2018,horizon,Horizon League,0,0,0,0
2413,2010,1179,14,19,42.42,66.58,43.57,22.36,38.07,8.61,75.74,13.24,6.7,21.76,28.45,5.52,2.03,16.7,10.06,11.7,0,Drake,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
2414,2010,1180,16,16,50,63.88,40.62,22.88,31.22,4.78,65.69,13.34,12.72,23.28,36,5.94,3.53,20.78,12.09,12.41,0,Drexel,1985,2018,caa,Colonial Athletic Association,0,0,0,0
2415,2010,1181,29,5,85.29,77.97,44.02,26.5,38.24,7.56,76.29,17.41,14.62,24.44,39.06,6.94,4.21,18.53,11.12,13.94,1,Duke,1985,2018,acc,Atlantic Coast Conference,1,1,1,3
2416,2010,1182,15,15,50,70.83,43.01,25.73,26.32,5.47,60.79,13.9,13.07,24.3,37.37,7.97,4.33,19.03,14.53,14.03,0,Duquesne,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
2417,2010,1183,17,12,58.62,66.17,45.16,24.31,36.08,3.93,72.48,13.62,11.07,23.48,34.55,5.93,3.28,17.07,13.9,14.34,0,E Illinois,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
2418,2010,1184,18,12,60,69.87,46.27,25,38.25,9.6,72.81,10.27,7.3,19.53,26.83,7.17,2.27,16.83,9.77,15.23,0,E Kentucky,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
2419,2010,1185,15,15,50,65.87,41.58,22.07,30.43,6.3,65.3,15.43,11.6,23.37,34.97,6.57,2.7,18.1,13.47,12.3,0,E Michigan,1985,2018,mac,Mid-American Conference,0,0,0,0
2420,2010,1186,7,21,25,67,41.04,23.46,36.55,7.04,70.87,13.04,9.54,23.11,32.64,5.96,2.25,20.57,14.46,12.82,0,E Washington,1985,2018,big_sky,Big Sky Conference,0,0,0,0
2421,2010,1187,7,21,25,66.5,43.45,22.75,31.98,5.36,69.63,15.64,11.11,23.79,34.89,6.32,3.36,17.89,16.93,11.57,0,East Carolina,1985,2018,cusa,Conference USA,0,0,0,0
2422,2010,1188,3,23,11.54,60.42,38.43,21.15,31.28,5.85,70.58,12.27,9,23,32,4.81,2.38,20.19,14.81,11.38,0,Edwardsville,2009,2018,ind,Independent,0,0,0,0
2423,2010,1189,8,23,25.81,65.77,40.67,23.26,31.84,7.1,64.78,12.16,10.32,22.9,33.23,5.68,2.03,18.71,13.26,12.19,0,Elon,2000,2018,southern,Southern Conference,0,0,0,0
2424,2010,1190,19,14,57.58,69.03,43.42,24.48,31.41,5.12,66.17,14.94,12.67,23.67,36.33,8.27,3.18,19.09,14.67,10.88,16,ETSU,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
2425,2010,1191,8,21,27.59,63.86,42.68,21.83,34.83,4.55,72.99,15.66,9.31,23.59,32.9,5,1.55,21.41,14.31,13.83,0,Evansville,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
2426,2010,1192,11,21,34.38,63.34,41.78,21.91,32.21,4.5,64.74,15.03,9.97,25.28,35.25,5.5,3.97,19.06,15.5,11.28,0,F Dickinson,1985,2018,nec,Northeast Conference,0,0,0,0
2427,2010,1193,22,10,68.75,70.56,43.22,25.22,33.16,6,69.11,14.12,13.47,23.16,36.62,7.44,5.09,18.28,13.47,13.81,0,Fairfield,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
2428,2010,1194,12,16,42.86,71.79,42.69,25.64,38.46,7.5,66.54,13,12.04,22.5,34.54,5.57,4.29,20.64,12.21,14.07,0,FL Atlantic,1994,2018,sun_belt,Sun Belt Conference,0,0,0,0
2429,2010,1195,8,21,27.59,64.66,42.2,23.41,30.32,4.28,64.85,13.55,13.62,22.07,35.69,8,3.52,21.66,17.03,13.9,0,FL Gulf Coast,2008,2018,a_sun,Atlantic Sun Conference,0,0,0,0
2430,2010,1196,21,12,63.64,71.61,44.4,25.94,31.33,5.85,70.25,13.88,13.18,23.79,36.97,7.15,2.73,14.45,12.18,14.06,10,Florida,1985,2018,sec,Southeastern Conference,0,0,0,0
2431,2010,1197,8,22,26.67,62.63,40,21.67,30.47,5.43,64,13.87,11.53,21.97,33.5,5.57,2.57,18.83,15.43,9.9,0,Florida A&M,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
2432,2010,1198,6,25,19.35,67.35,41.52,24.42,28.89,5.45,69.23,13.06,11.74,20.55,32.29,8.06,1.81,19.52,13.35,12.23,0,Florida Intl,1988,2018,sun_belt,Sun Belt Conference,0,0,0,0
2433,2010,1199,22,9,70.97,68.48,45.49,24.58,33.52,5.81,64.56,13.52,12.74,25.29,38.03,8.39,6.32,17.84,16.77,13.9,9,Florida St,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
2434,2010,1200,2,26,7.14,64.04,37.99,23.04,27.8,4.79,67.83,13.18,12.82,24.54,37.36,5.61,4.11,19.86,15.5,9.75,0,Fordham,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
2435,2010,1201,14,18,43.75,66.34,42.47,22.81,32.13,6.66,68.08,14.06,10.34,23,33.34,7.91,4.28,16.97,13.94,14.12,0,Fresno St,1985,2018,wac,Western Athletic Conference,0,0,0,0
2436,2010,1202,11,17,39.29,67.93,41.57,22.46,34.34,6.11,70.81,16.89,10.96,24.89,35.86,4.89,5.11,21.54,14.79,11.21,0,Furman,1985,2018,southern,Southern Conference,0,0,0,0
2437,2010,1203,16,14,53.33,70.23,43.49,25.17,33.19,5,65.07,14.9,13.77,24.83,38.6,7.83,3.57,20.97,14.33,12.8,0,G Washington,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
2438,2010,1204,7,23,23.33,68.87,42.02,23.97,38.25,7.27,67.1,13.67,11.17,18.77,29.93,7.8,3.23,21.97,15.9,13.47,0,Ga Southern,1985,2018,southern,Southern Conference,0,0,0,0
2439,2010,1205,5,21,19.23,67.08,40.98,24.38,34.17,6.81,65.71,11.5,11.73,23.27,35,6.15,2.08,20.73,17.96,13.46,0,Gardner Webb,2003,2018,big_south,Big South Conference,0,0,0,0
2440,2010,1206,17,14,54.84,66.1,43.59,23.35,34.06,5.06,64.16,14.32,11.29,23.13,34.42,6.48,3.87,17.32,13.55,11.58,0,George Mason,1985,2018,caa,Colonial Athletic Association,0,0,0,0
2441,2010,1207,23,10,69.7,73.24,49.83,26.48,38.78,6.18,71.21,14.09,9.67,23.7,33.36,7.03,4.73,16.91,13.79,15.45,3,Georgetown,1985,2018,big_east,Big East Conference,0,0,0,0
2442,2010,1208,14,17,45.16,68.65,45.61,24.48,36.59,4.84,71.76,14.84,12.42,23.61,36.03,6.03,4.68,16.23,15.19,13.71,0,Georgia,1985,2018,sec,Southeastern Conference,0,0,0,0
2443,2010,1209,11,20,35.48,61.81,41.8,23.03,32.44,4.29,68.4,11.45,13.1,20.23,33.32,6.97,3.23,18.94,13.35,11.03,0,Georgia St,1985,2018,caa,Colonial Athletic Association,0,0,0,0
2444,2010,1210,21,12,63.64,72.52,45.45,26.3,36.67,6,64.2,13.91,13.7,26.55,40.24,7.76,5.48,18.67,16.33,13.76,10,Georgia Tech,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
2445,2010,1211,25,6,80.65,77.52,49.32,27,36.52,5.55,66.63,17.97,10.58,27.35,37.94,6.45,4.1,18.1,13.06,13.52,8,Gonzaga,1985,2018,wcc,West Coast Conference,0,0,0,0
2446,2010,1212,6,21,22.22,63.3,39.4,21.81,34.27,5.85,68.95,13.81,10.7,22.48,33.19,7.22,2.41,22.37,15.67,11.19,0,Grambling,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
2447,2010,1214,14,18,43.75,65.69,42.45,22.66,29.87,5.12,67.78,15.25,11.5,23.06,34.56,8.69,3.97,18.47,15.5,12.03,0,Hampton,1996,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
2448,2010,1216,8,22,26.67,62.27,39.81,22.27,34.37,7.77,63.89,9.97,9.9,21.17,31.07,6.03,2.67,21.97,11.67,11.33,0,Hartford,1985,2018,aec,America East Conference,0,0,0,0
2449,2010,1217,20,7,74.07,73.56,47.78,24.7,35.65,6.26,76.55,17.89,9.3,24.04,33.33,7.85,4.44,19.04,15.52,15.19,0,Harvard,1985,2018,ivy,Ivy League,0,0,0,0
2450,2010,1218,9,20,31.03,68.07,43.24,23.59,31.96,5.07,65.67,15.83,13.31,22.34,35.66,4.45,1.97,18.28,14.48,13.83,0,Hawaii,1985,2018,wac,Western Athletic Conference,0,0,0,0
2451,2010,1219,13,15,46.43,70.18,42.07,24.82,34.52,6.25,68.38,14.29,13.11,22.32,35.43,6.14,4.29,21.54,15.54,12.29,0,High Point,2000,2018,big_south,Big South Conference,0,0,0,0
2452,2010,1220,18,14,56.25,69.91,40.9,25.28,33.08,5.44,72.01,13.91,14.78,25.78,40.56,7.44,6.38,21.5,13.72,13.44,0,Hofstra,1985,2018,caa,Colonial Athletic Association,0,0,0,0
2453,2010,1221,9,22,29.03,69.26,44.58,24.55,38.06,5.19,70.09,14.97,12.32,24.32,36.65,4.32,2.87,17.77,14.42,13.19,0,Holy Cross,1985,2018,patriot,Patriot League,0,0,0,0
2454,2010,1222,18,15,54.55,78.82,41.82,27.48,35.58,8.3,70.95,15.55,12.91,21.42,34.33,9.52,2.94,18.61,9.03,12.55,13,Houston,1985,2018,cusa,Conference USA,0,0,0,0
2455,2010,1223,12,21,36.36,71.12,41.59,24.27,28.42,4.09,72.71,18.48,13.64,25.58,39.21,7.18,3.67,20.7,18.36,12.39,0,Houston Bap,1985,2018,gwc,Great West Conference,0,0,0,0
2456,2010,1224,7,25,21.88,58.38,37.5,19.97,29.72,5.56,59.2,12.88,12.12,22,34.12,4.38,2.16,16.78,14.78,9.62,0,Howard,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
2457,2010,1225,13,16,44.83,70.79,46.06,25.41,37.63,6.24,65.89,13.72,10.69,23.69,34.38,5.9,3.17,18.14,14.07,14.62,0,Idaho,1985,2018,wac,Western Athletic Conference,0,0,0,0
2458,2010,1226,5,22,18.52,66.19,45.26,24.41,34.88,4.74,69.03,12.63,11.37,20.19,31.56,5.7,2.81,17.93,13.37,11.22,0,Idaho St,1985,2018,big_sky,Big Sky Conference,0,0,0,0
2459,2010,1227,7,22,24.14,62.21,38.41,21.55,30.41,5.86,71.78,13.24,10.41,21.86,32.28,6.97,2.41,19.1,12.83,10.45,0,IL Chicago,1985,2018,horizon,Horizon League,0,0,0,0
2460,2010,1228,19,14,57.58,70.45,44.96,26.33,34.42,6.06,71.67,11.73,10.73,26.09,36.82,5.58,4.03,16.97,12.36,15.76,0,Illinois,1985,2018,big_ten,Big Ten Conference,0,0,0,0
2461,2010,1229,22,10,68.75,70.03,45.04,24.28,32.98,5.88,70.58,15.59,11.81,24,35.81,7.25,3.5,17.03,12.97,13.12,0,Illinois St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
2462,2010,1231,10,21,32.26,66.23,41.67,22.68,34.12,5.16,69.08,15.71,12.77,22.39,35.16,6.81,3.45,20.52,15.68,12.1,0,Indiana,1985,2018,big_ten,Big Ten Conference,0,0,0,0
2463,2010,1232,16,14,53.33,65.7,42.29,22.13,34.9,6.93,77.4,14.5,8.83,24.07,32.9,5.33,3.87,18.43,12.6,10.47,0,Indiana St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
2464,2010,1233,21,10,67.74,66.13,41.99,22.58,36.67,7.32,68.12,13.65,10.39,23.19,33.58,7.94,2.9,19.81,13.55,13.58,0,Iona,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
2465,2010,1234,10,22,31.25,60.53,41.44,21.09,31.74,7.47,69.18,10.88,9.91,22.06,31.97,4.19,2,15.84,13.75,12.31,0,Iowa,1985,2018,big_ten,Big Ten Conference,0,0,0,0
2466,2010,1235,15,17,46.88,72.59,44.31,25.94,37.25,6.53,65.7,14.19,12.12,26.22,38.34,5.31,4.88,15.75,13.84,14.25,0,Iowa St,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
2467,2010,1236,14,15,48.28,66.97,40.83,23.48,37.91,7.14,69.33,12.86,10.79,24.41,35.21,5.52,4.52,19.24,12.69,11.69,0,IPFW,2003,2018,summit,Summit League,0,0,0,0
2468,2010,1237,22,10,68.75,73.41,50.33,26.12,38.31,5.53,71.33,15.62,9.66,22.91,32.56,8.78,4.41,16.09,14.09,14.81,0,IUPUI,1999,2018,summit,Summit League,0,0,0,0
2469,2010,1238,18,12,60,62.43,38.84,20.83,31.25,5.17,64.02,15.6,13,25.2,38.2,5.8,3.7,20.77,14.4,11.07,0,Jackson St,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
2470,2010,1239,19,12,61.29,70.1,42.04,24.29,33.94,5.39,70.62,16.13,14.74,22.65,37.39,8.48,4.23,19.77,14.74,11.94,0,Jacksonville,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
2471,2010,1240,9,19,32.14,68.43,43,23.68,35.96,5.86,72.57,15.21,10.82,22.79,33.61,6.39,4.57,18.79,13.79,14.71,0,Jacksonville St,1996,2018,ovc,Ohio Valley Conference,0,0,0,0
2472,2010,1241,13,20,39.39,66.97,43.98,24.12,31.24,5.73,68.31,13,10.7,24.12,34.82,6.18,4.24,16.12,14.45,14,0,James Madison,1985,2018,caa,Colonial Athletic Association,0,0,0,0
2473,2010,1242,32,2,94.12,81.76,48.84,28.56,40.89,7.26,70.11,17.38,12.94,27.59,40.53,8.41,6.41,18.26,12.97,17.15,1,Kansas,1985,2018,big_twelve,Big 12 Conference,1,1,0,2
2474,2010,1243,25,7,78.12,79.47,44.85,26.25,35.66,6.72,66.46,20.25,15.31,23.94,39.25,7.47,4.81,22.47,14.59,14.62,2,Kansas St,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
2475,2010,1244,11,20,35.48,65,40.18,23.23,32.7,7.19,68.48,11.35,13.42,21.71,35.13,6.55,3.55,16.13,14.58,12.55,0,Kennesaw,2006,2018,a_sun,Atlantic Sun Conference,0,0,0,0
2476,2010,1245,22,9,70.97,70.52,43.37,24.77,32.05,5.65,68.35,15.32,11.9,23.39,35.29,8.58,2.77,18.84,12.19,13.03,0,Kent,1985,2018,mac,Mid-American Conference,0,0,0,0
2477,2010,1246,32,2,94.12,79.24,47.89,28,34.12,5.97,67.86,17.26,14.29,27.06,41.35,7.26,7.24,16.24,14.5,14.71,1,Kentucky,1985,2018,sec,Southeastern Conference,1,1,0,2
2478,2010,1247,12,18,40,70.37,44,25.2,33.68,5.47,66.72,14.5,14,24.9,38.9,6.23,4.67,17.23,15.7,13.83,0,La Salle,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
2479,2010,1248,19,13,59.38,72.5,45.32,24.22,37.34,8.06,76.42,16,8.56,22.41,30.97,7.34,2.84,17.25,13.19,15.06,0,Lafayette,1985,2018,patriot,Patriot League,0,0,0,0
2480,2010,1249,10,18,35.71,67.5,41.94,23.14,27.13,3.75,66.8,17.46,13.71,23.89,37.61,6.25,3.25,19.68,15.79,13.21,0,Lamar,1985,2018,southland,Southland Conference,0,0,0,0
2481,2010,1250,22,10,68.75,75.12,45.62,25.53,40.04,6.66,71.59,17.41,10.19,26.31,36.5,6.16,2.53,17.91,13,15.12,16,Lehigh,1985,2018,patriot,Patriot League,0,0,0,0
2482,2010,1251,12,16,42.86,65.54,42.71,22.39,32.54,5.39,69.35,15.36,10.46,25.21,35.68,6.29,2.71,18.68,15.68,11.5,0,Liberty,1989,2018,big_south,Big South Conference,0,0,0,0
2483,2010,1252,16,13,55.17,78.21,46.06,27.21,35.97,8,70.25,15.79,12.62,23.93,36.55,6.66,2.45,17.31,14.69,17.07,0,Lipscomb,2003,2018,a_sun,Atlantic Sun Conference,0,0,0,0
2484,2010,1253,15,16,48.39,69.74,42.67,24.61,31.8,5.81,66.28,14.71,11.71,23.77,35.48,7.48,2.74,17.97,14.29,12.81,0,Long Beach St,1985,2018,big_west,Big West Conference,0,0,0,0
2485,2010,1254,14,17,45.16,69.74,40.01,23.26,34.8,7.42,69.11,15.81,13.74,25.29,39.03,5.81,3.94,17.77,14.13,10.81,0,Long Island,1985,2018,nec,Northeast Conference,0,0,0,0
2486,2010,1255,8,19,29.63,70.41,42.72,26.07,34.51,6.85,65.39,11.41,11.33,21.81,33.15,6.7,1.96,21.44,15.59,15.41,0,Longwood,2005,2018,ind,Independent,0,0,0,0
2487,2010,1256,23,10,69.7,74.27,45.16,26.45,34.15,5.91,69.2,15.45,12.82,24.45,37.27,6.64,3.24,16.18,13.06,12.15,0,Louisiana Tech,1985,2018,wac,Western Athletic Conference,0,0,0,0
2488,2010,1257,20,12,62.5,76.34,44.74,26.56,33.91,8.03,70.33,15.19,14.47,22.41,36.88,7.78,4.19,20.12,13.69,15.56,9,Louisville,1985,2018,big_east,Big East Conference,0,0,0,0
2489,2010,1258,17,15,53.12,75.34,45.46,26.59,37.98,5.88,69.56,16.28,12.12,23.78,35.91,7.22,4.19,19.25,13.12,13.78,0,Loy Marymount,1985,2018,wcc,West Coast Conference,0,0,0,0
2490,2010,1259,13,17,43.33,64.97,42.04,22.43,35.73,5.47,69.9,14.63,11.77,23.33,35.1,6.43,4.4,20.2,15,11.43,0,Loyola MD,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
2491,2010,1260,12,16,42.86,64.32,42.05,22.29,37.15,6.61,68.02,13.14,11.75,23.04,34.79,5.14,3.18,17.64,14.04,13.11,0,Loyola-Chicago,1985,2018,horizon,Horizon League,0,0,0,0
2492,2010,1261,11,20,35.48,61.45,39.95,22.26,28.72,4.55,69.57,12.39,12.77,23.16,35.94,6.1,3.74,17.65,12.81,11.42,0,LSU,1985,2018,sec,Southeastern Conference,0,0,0,0
